Date,Open,High,Low,Close,Adj Close,Volume
2013-08-30,27.860001,27.980000,27.700001,27.920000,20.802992,3259200
2013-09-03,28.059999,28.160000,27.430000,27.490000,20.482601,2906000
2013-09-04,27.469999,27.500000,27.170000,27.340000,20.370836,4690000
2013-09-05,27.320000,27.360001,27.139999,27.270000,20.318682,2903800
2013-09-06,27.379999,27.639999,27.270000,27.370001,20.393192,8580400
2013-09-09,27.389999,27.559999,27.309999,27.459999,20.460251,8423800
2013-09-10,27.570000,27.719999,27.450001,27.719999,20.653978,9953700
2013-09-11,27.920000,27.920000,27.440001,27.639999,20.594366,6417500
2013-09-12,27.680000,27.799999,27.540001,27.559999,20.534758,4024500
2013-09-13,27.639999,27.770000,27.549999,27.639999,20.594366,3220500
2013-09-16,27.870001,28.100000,27.360001,27.400000,20.415541,6175300
2013-09-17,27.270000,27.290001,27.030001,27.100000,20.400486,6003000
2013-09-18,27.030001,28.110001,26.900000,27.940001,21.032827,9376000
2013-09-19,27.950001,28.049999,27.750000,27.830000,20.950022,3384000
2013-09-20,27.969999,27.969999,27.580000,27.750000,20.889799,7052700
2013-09-23,27.700001,28.350000,27.510000,28.200001,21.228552,4369900
2013-09-24,28.190001,28.240000,27.950001,28.139999,21.183386,3279300
2013-09-25,28.100000,28.170000,27.840000,27.860001,20.972603,2559900
2013-09-26,27.850000,28.049999,27.750000,27.879999,20.987661,1680900
2013-09-27,27.750000,27.889999,27.549999,27.690001,20.844633,2062500
2013-09-30,27.590000,27.730000,27.469999,27.610001,20.784409,3242900
2013-10-01,27.680000,27.889999,27.580000,27.790001,20.919910,2260000
2013-10-02,27.709999,27.760000,27.450001,27.760000,20.897324,2663600
2013-10-03,27.620001,27.650000,27.200001,27.260000,20.520931,3251900
2013-10-04,27.320000,27.430000,27.230000,27.299999,20.551044,1063500
2013-10-07,27.160000,27.450001,27.139999,27.170000,20.453184,1344900
2013-10-08,27.230000,27.760000,27.170000,27.580000,20.761826,4724200
2013-10-09,27.610001,28.070000,27.549999,27.770000,20.904852,3293400
2013-10-10,27.930000,28.200001,27.540001,28.150000,21.190914,2434300
2013-10-11,28.059999,28.299999,28.010000,28.270000,21.281254,1737700
2013-10-14,28.150000,28.190001,27.670000,28.040001,21.108107,2098200
2013-10-15,27.900000,27.969999,27.629999,27.690001,20.844633,1993400
2013-10-16,27.790001,28.020000,27.740000,28.010000,21.085526,2183600
2013-10-17,27.940001,28.549999,27.760000,28.490000,21.446861,2077600
2013-10-18,28.480000,28.740000,28.379999,28.600000,21.529665,3653600
2013-10-21,28.650000,28.700001,28.440001,28.570000,21.507088,2338200
2013-10-22,28.590000,29.190001,28.570000,29.070000,21.883476,3338200
2013-10-23,29.049999,29.350000,28.870001,29.070000,21.883476,3900700
2013-10-24,29.330000,29.350000,28.660000,28.879999,21.740442,3235400
2013-10-25,29.010000,29.129999,28.690001,29.100000,21.906061,2552700
2013-10-28,29.120001,29.320000,29.040001,29.080000,21.891008,2971800
2013-10-29,29.160000,29.230000,29.030001,29.139999,21.936172,2412900
2013-10-30,29.209999,29.400000,28.860001,28.900000,21.755503,2927200
2013-10-31,28.920000,29.049999,28.490000,28.860001,21.725391,3095900
2013-11-01,28.950001,29.120001,28.790001,28.920000,21.770554,2164100
2013-11-04,29.000000,29.049999,28.730000,28.980000,21.815727,1634600
2013-11-05,28.889999,29.090000,28.719999,28.719999,21.620005,3009600
2013-11-06,28.850000,28.950001,28.700001,28.950001,21.793142,3025400
2013-11-07,29.100000,29.100000,28.600000,28.629999,21.552250,2557400
2013-11-08,28.530001,28.549999,27.959999,28.520000,21.469440,2787300
2013-11-11,28.480000,28.750000,28.389999,28.600000,21.529665,1481200
2013-11-12,28.500000,28.650000,28.230000,28.370001,21.356524,2737200
