Date,Open,High,Low,Close*,Adj Close**,Volume
31-Dec-21,"15,722.91","15,777.43","15,643.94","15,644.97","15,644.97","3,379,850,000"
30-Dec-21,"15,758.98","15,868.09","15,729.16","15,741.56","15,741.56","3,732,730,000"
29-Dec-21,"15,794.92","15,821.81","15,679.85","15,766.22","15,766.22","3,694,500,000"
28-Dec-21,"15,895.20","15,901.47","15,757.07","15,781.72","15,781.72","3,623,600,000"
27-Dec-21,"15,696.83","15,871.40","15,696.83","15,871.26","15,871.26","3,730,120,000"
23-Dec-21,"15,544.79","15,697.98","15,528.91","15,653.37","15,653.37","3,918,200,000"
22-Dec-21,"15,319.16","15,525.97","15,303.06","15,521.89","15,521.89","4,080,900,000"
21-Dec-21,"15,140.43","15,349.06","15,015.03","15,341.09","15,341.09","4,546,230,000"
20-Dec-21,"14,933.00","15,007.30","14,860.04","14,980.94","14,980.94","4,576,750,000"
17-Dec-21,"15,036.77","15,288.78","14,960.37","15,169.68","15,169.68","7,616,320,000"
16-Dec-21,"15,629.08","15,633.19","15,119.49","15,180.43","15,180.43","4,890,470,000"
15-Dec-21,"15,230.71","15,575.76","15,055.23","15,565.58","15,565.58","5,318,850,000"
14-Dec-21,"15,215.96","15,317.55","15,097.35","15,237.64","15,237.64","4,802,460,000"
13-Dec-21,"15,621.27","15,637.06","15,408.25","15,413.28","15,413.28","4,549,170,000"
10-Dec-21,"15,629.59","15,677.60","15,477.85","15,630.60","15,630.60","4,395,460,000"
9-Dec-21,"15,720.54","15,796.05","15,511.12","15,517.37","15,517.37","4,484,230,000"
8-Dec-21,"15,690.65","15,792.64","15,618.88","15,786.99","15,786.99","4,600,800,000"
7-Dec-21,"15,510.91","15,720.09","15,507.66","15,686.92","15,686.92","5,091,220,000"
6-Dec-21,"15,117.63","15,281.99","14,931.61","15,225.15","15,225.15","5,095,960,000"
3-Dec-21,"15,428.71","15,470.36","14,931.06","15,085.47","15,085.47","5,859,520,000"
2-Dec-21,"15,181.82","15,444.54","15,150.12","15,381.32","15,381.32","5,390,100,000"
1-Dec-21,"15,752.27","15,816.82","15,243.93","15,254.05","15,254.05","6,266,020,000"
30-Nov-21,"15,716.50","15,828.20","15,451.39","15,537.69","15,537.69","6,609,380,000"
29-Nov-21,"15,719.42","15,833.11","15,644.61","15,782.83","15,782.83","4,800,570,000"
26-Nov-21,"15,664.38","15,731.54","15,456.09","15,491.66","15,491.66","3,502,030,000"
24-Nov-21,"15,677.88","15,848.56","15,591.36","15,845.23","15,845.23","4,178,630,000"
23-Nov-21,"15,809.50","15,895.86","15,601.46","15,775.14","15,775.14","5,412,610,000"
22-Nov-21,"16,120.92","16,212.23","15,851.04","15,854.76","15,854.76","5,531,070,000"
19-Nov-21,"16,042.16","16,121.12","16,017.23","16,057.44","16,057.44","4,849,160,000"
18-Nov-21,"15,973.39","16,010.88","15,848.83","15,993.71","15,993.71","5,361,690,000"
17-Nov-21,"15,973.62","15,998.57","15,909.39","15,921.57","15,921.57","5,024,540,000"
16-Nov-21,"15,840.32","15,989.61","15,825.00","15,973.86","15,973.86","5,441,150,000"
15-Nov-21,"15,894.82","15,918.45","15,778.31","15,853.85","15,853.85","4,978,040,000"
12-Nov-21,"15,752.62","15,874.57","15,705.38","15,860.96","15,860.96","5,412,870,000"
11-Nov-21,"15,752.08","15,768.03","15,695.77","15,704.28","15,704.28","4,520,600,000"
10-Nov-21,"15,753.84","15,867.24","15,543.68","15,622.71","15,622.71","5,336,480,000"
9-Nov-21,"16,024.13","16,035.21","15,836.68","15,886.54","15,886.54","5,531,330,000"
8-Nov-21,"15,995.72","16,038.23","15,961.81","15,982.36","15,982.36","5,620,280,000"
5-Nov-21,"16,003.56","16,053.39","15,900.78","15,971.59","15,971.59","5,534,130,000"
4-Nov-21,"15,849.74","15,966.09","15,827.66","15,940.31","15,940.31","5,252,570,000"
3-Nov-21,"15,658.52","15,821.57","15,616.44","15,811.58","15,811.58","5,274,520,000"
2-Nov-21,"15,583.98","15,656.60","15,569.27","15,649.60","15,649.60","5,118,540,000"
1-Nov-21,"15,541.26","15,598.95","15,470.82","15,595.92","15,595.92","5,239,250,000"
29-Oct-21,"15,323.29","15,504.12","15,323.29","15,498.39","15,498.39","5,310,370,000"
28-Oct-21,"15,304.74","15,452.30","15,290.31","15,448.12","15,448.12","5,660,240,000"
27-Oct-21,"15,276.00","15,364.54","15,235.84","15,235.84","15,235.84","6,083,210,000"
26-Oct-21,"15,317.50","15,384.00","15,198.23","15,235.71","15,235.71","7,035,470,000"
25-Oct-21,"15,142.92","15,259.63","15,070.75","15,226.71","15,226.71","5,677,320,000"
22-Oct-21,"15,158.07","15,193.01","15,021.02","15,090.20","15,090.20","5,719,760,000"
21-Oct-21,"15,104.80","15,222.25","15,094.14","15,215.70","15,215.70","4,880,390,000"
20-Oct-21,"15,160.00","15,178.39","15,071.15","15,121.68","15,121.68","4,086,590,000"
19-Oct-21,"15,073.13","15,137.85","15,049.73","15,129.09","15,129.09","4,443,000,000"
18-Oct-21,"14,839.74","15,026.68","14,833.28","15,021.81","15,021.81","4,142,540,000"
15-Oct-21,"14,891.24","14,904.98","14,847.96","14,897.34","14,897.34","4,473,930,000"
14-Oct-21,"14,717.50","14,827.56","14,699.52","14,823.43","14,823.43","4,240,520,000"
13-Oct-21,"14,537.17","14,589.28","14,471.88","14,571.64","14,571.64","4,032,440,000"
12-Oct-21,"14,539.09","14,552.71","14,441.60","14,465.92","14,465.92","4,037,030,000"
11-Oct-21,"14,540.08","14,665.99","14,482.62","14,486.20","14,486.20","3,522,230,000"
8-Oct-21,"14,694.72","14,699.91","14,569.68","14,579.54","14,579.54","3,557,630,000"
7-Oct-21,"14,631.80","14,755.72","14,615.14","14,654.02","14,654.02","3,936,210,000"
6-Oct-21,"14,289.45","14,509.55","14,259.07","14,501.91","14,501.91","4,443,760,000"
5-Oct-21,"14,312.86","14,508.65","14,299.78","14,433.83","14,433.83","4,143,190,000"
4-Oct-21,"14,493.12","14,499.74","14,181.69","14,255.48","14,255.48","4,539,650,000"
1-Oct-21,"14,494.93","14,606.82","14,324.01","14,566.70","14,566.70","4,688,550,000"
30-Sep-21,"14,582.60","14,632.36","14,444.30","14,448.58","14,448.58","5,910,550,000"
29-Sep-21,"14,614.88","14,676.62","14,493.67","14,512.44","14,512.44","5,246,170,000"
28-Sep-21,"14,787.21","14,817.74","14,539.88","14,546.68","14,546.68","4,954,270,000"
27-Sep-21,"14,954.18","15,003.16","14,864.96","14,969.97","14,969.97","4,619,450,000"
24-Sep-21,"14,961.61","15,067.56","14,946.57","15,047.70","15,047.70","3,972,140,000"
23-Sep-21,"14,960.00","15,085.44","14,932.51","15,052.24","15,052.24","4,176,520,000"
22-Sep-21,"14,800.59","14,950.12","14,767.01","14,896.85","14,896.85","4,229,870,000"
21-Sep-21,"14,803.36","14,847.03","14,696.47","14,746.40","14,746.40","4,056,340,000"
20-Sep-21,"14,758.14","14,841.82","14,530.07","14,713.90","14,713.90","4,860,630,000"
17-Sep-21,"15,163.36","15,166.56","14,998.73","15,043.97","15,043.97","6,682,650,000"
16-Sep-21,"15,120.09","15,205.50","15,047.14","15,181.92","15,181.92","3,681,700,000"
15-Sep-21,"15,071.34","15,174.38","14,984.68","15,161.53","15,161.53","4,446,270,000"
14-Sep-21,"15,168.45","15,181.19","15,008.30","15,037.76","15,037.76","4,571,950,000"
13-Sep-21,"15,211.43","15,215.44","15,030.85","15,105.58","15,105.58","4,701,190,000"
10-Sep-21,"15,332.92","15,349.47","15,111.31","15,115.49","15,115.49","4,567,980,000"
9-Sep-21,"15,296.06","15,352.38","15,245.17","15,248.25","15,248.25","3,997,250,000"
8-Sep-21,"15,360.35","15,360.35","15,206.61","15,286.64","15,286.64","4,113,530,000"
7-Sep-21,"15,375.98","15,403.44","15,343.28","15,374.33","15,374.33","3,967,040,000"
3-Sep-21,"15,313.41","15,375.56","15,283.67","15,363.52","15,363.52","3,692,170,000"
2-Sep-21,"15,358.47","15,380.07","15,285.35","15,331.18","15,331.18","4,018,120,000"
