stock1,stock2,Correlation
XEL,AMGN,1.0
WBA,AMGN,0.6707593230899226
VRTX,AMGN,0.3415458693248644
REGN,AMGN,0.809438622916265
PEP,AMGN,0.023357034450661944
MDLZ,AMGN,1.0
GILD,AMGN,0.6423286566174655
COST,AMGN,0.054587642311815204
ATVI,AMGN,0.5821119345783221
XEL,ATVI,1.0
WBA,ATVI,0.5266043548606542
VRTX,ATVI,-0.25449249219015013
REGN,ATVI,0.3767931453829907
PEP,ATVI,0.18371454879314558
MDLZ,ATVI,0.6776813016469403
GILD,ATVI,0.04944077351326642
COST,ATVI,-0.5525828591710102
XEL,COST,0.07353030412147249
WBA,COST,0.6824908814798478
VRTX,COST,1.0
REGN,COST,0.8556013892269175
PEP,COST,0.9170868768656413
MDLZ,COST,0.31387828703729936
GILD,COST,0.7188659794799479
XEL,GILD,1.0
WBA,GILD,0.28995445280006393
VRTX,GILD,0.5202421857637216
REGN,GILD,1.0
PEP,GILD,1.0
MDLZ,GILD,1.0
XEL,MDLZ,0.4802334725010303
WBA,MDLZ,1.0
VRTX,MDLZ,1.0
REGN,MDLZ,0.5237091081685168
PEP,MDLZ,0.6909191055659619
XEL,PEP,0.13373841626804828
WBA,PEP,0.7581002088737605
VRTX,PEP,1.0
REGN,PEP,0.6673479470829968
XEL,REGN,0.8496167523116716
WBA,REGN,0.9488863828311962
VRTX,REGN,0.8696112173038155
XEL,VRTX,1.0
WBA,VRTX,0.7658161539501579
XEL,WBA,1.0
